WORDCOUNTS,WEIGHT
the,919
of,517
to,393
in,326
and,314
a,258
that,217
rent,162
for,156
is,155
tenants,136
not,122
landlords,114
ireland,104
was,102
as,102
be,95
land,93
landlord,89
tenant,89
would,86
have,85
this,81
by,80
s,75
were,74
on,73
but,72
with,72
from,68
it,64
irish,63
had,58
than,57
if,55
an,55
rents,54
or,51
we,49
some,48
his,48
are,48
no,47
their,47
who,46
value,41
could,39
there,38
which,37
any,36
all,35
pay,35
p,35
more,34
one,33
our,33
agricultural,33
at,32
model,32
commission,32
they,30
default,30
he,30
so,29
two,28
years,28
such,27
vaughan,27
been,27
will,26
contract,26
did,26
prices,25
ricardian,25
ulster,25
only,24
less,24
purchase,24
history,23
first,23
right,23
price,23
institution,23
arrears,23
estates,23
many,23
equilibrium,23
case,22
pp,22
payments,22
tenancy,22
system,21
since,21
economic,21
time,21
new,21
then,21
miller,20
ejectment,20
farmer,20
cost,20
view,20
q,20
devon,20
can,20
eviction,20
guinnane,19
even,19
because,19
these,19
farmers,18
interest,18
may,18
period,18
why,18
rate,17
thus,17
greater,17
dowling,17
sell,17
much,17
large,16
other,16
has,16
most,16
work,16
zero,16
paying,16
agents,16
might,15
act,15
security,15
low,15
over,15
gain,15
does,14
estate,14
i,14
b,14
equal,14
tenure,14
year,14
good,14
second,14
same,14
costs,14
v,14
figure,14
potential,14
between,14
being,13
implications,13
j,13
enforcement,13
part,13
below,13
about,13
where,13
high,13
united,13
when,13
capital,13
tenancies,12
into,12
holding,12
before,12
kingdom,12
implies,12
surplus,12
bad,12
university,12
aj,12
features,12
farm,12
them,12
very,11
r,11
nonpayment,11
make,11
under,11
tenantright,11
donnelly,11
noted,11
practice,11
increase,11
evicted,11
distributional,11
both,11
must,11
evidence,11
simple,10
agent,10
jones,10
without,10
holdings,10
property,10
example,10
its,10
famine,10
paid,10
return,10
john,10
made,10
solow,10
enough,10
respect,10
different,10
william,10
yearly,10
size,10
press,10
argument,10
sources,9
actual,9
those,9
opportunity,9
consider,9
important,9
out,9
london,9
up,9
outgoing,9
do,9
increases,9
explanation,9
sold,9
nothing,9
after,9
percent,9
payment,9
historians,9
appendix,9
following,9
accounts,9
question,9
charged,9
difficult,8
e,8
modern,8
collection,8
lower,8
money,8
custom,8
bond,8
changes,8
incentive,8
see,8
mokyr,8
problems,8
incoming,8
often,8
each,8
economy,8
notes,8
charge,8
digest,8
now,7
o,7
common,7
ejected,7
market,7
long,7
possible,7
dublin,7
rights,7
basic,7
earlier,7
leases,7
w,7
rental,7
result,7
distribution,7
output,7
let,7
cannot,7
however,7
loss,7
least,7
order,7
small,7
demand,7
above,7
marginal,7
management,7
social,7
tcd,7
power,7
farming,7
full,7
complicated,7
defaults,7
concluded,7
deposit,7
life,7
here,7
quoted,7
problem,7
suggests,7
profits,7
charging,7
strong,7
dt,7
either,6
labor,6
vol,6
downshire,6
review,6
quality,6
better,6
rates,6
operation,6
rather,6
how,6
knew,6
similar,6
contemporaries,6
show,6
willing,6
respected,6
m,6
based,6
kennedy,6
found,6
further,6
well,6
explains,6
during,6
t,6
level,6
violence,6
others,6
outside,6
values,6
deposits,6
article,6
existed,6
get,6
series,6
simply,6
equation,6
number,6
rural,6
while,6
average,6
although,6
